,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
88,POI008,경복궁,2024-04-15 23:00,여유,500,600
89,POI008,경복궁,2024-04-16 00:00,여유,400,500
90,POI008,경복궁,2024-04-16 01:00,여유,400,500
91,POI008,경복궁,2024-04-16 02:00,여유,400,500
92,POI008,경복궁,2024-04-16 03:00,여유,300,400
93,POI008,경복궁,2024-04-16 04:00,여유,300,400
94,POI008,경복궁,2024-04-16 05:00,여유,300,400
95,POI008,경복궁,2024-04-16 06:00,여유,300,400
96,POI009,광화문·덕수궁,2024-04-15 19:00,약간 붐빔,26000,28000
97,POI009,광화문·덕수궁,2024-04-15 20:00,보통,16000,18000
98,POI009,광화문·덕수궁,2024-04-15 21:00,여유,12000,14000
99,POI009,광화문·덕수궁,2024-04-15 22:00,여유,10000,12000
100,POI009,광화문·덕수궁,2024-04-15 23:00,여유,7000,7500
101,POI009,광화문·덕수궁,2024-04-16 00:00,여유,4500,5000
102,POI009,광화문·덕수궁,2024-04-16 01:00,여유,3500,4000
103,POI009,광화문·덕수궁,2024-04-16 02:00,여유,3000,3500
104,POI009,광화문·덕수궁,2024-04-16 03:00,여유,2500,3000
105,POI009,광화문·덕수궁,2024-04-16 04:00,여유,2500,3000
106,POI009,광화문·덕수궁,2024-04-16 05:00,여유,2500,3000
107,POI009,광화문·덕수궁,2024-04-16 06:00,여유,3000,3500
108,POI010,보신각,2024-04-15 19:00,약간 붐빔,10000,12000
109,POI010,보신각,2024-04-15 20:00,약간 붐빔,9500,10000
110,POI010,보신각,2024-04-15 21:00,보통,7500,8000
111,POI010,보신각,2024-04-15 22:00,여유,5500,6000
112,POI010,보신각,2024-04-15 23:00,여유,4000,4500
113,POI010,보신각,2024-04-16 00:00,여유,2500,3000
114,POI010,보신각,2024-04-16 01:00,여유,1500,2000
115,POI010,보신각,2024-04-16 02:00,여유,1000,1500
116,POI010,보신각,2024-04-16 03:00,여유,1000,1500
117,POI010,보신각,2024-04-16 04:00,여유,1000,1500
